Date,Count
02/06/2024,"3,857,533"
02/05/2024,"3,481,777"
02/04/2024,"1,742,107"
02/03/2024,"2,324,038"
02/02/2024,"3,457,807"
02/01/2024,"3,814,682"
01/31/2024,"3,808,584"
01/30/2024,"3,717,520"
01/29/2024,"3,297,571"
01/28/2024,"1,549,077"
01/27/2024,"2,283,244"
01/26/2024,"3,380,816"
01/25/2024,"3,681,867"
01/24/2024,"3,666,907"
01/23/2024,"3,652,488"
01/22/2024,"3,305,387"
01/21/2024,"1,576,126"
01/20/2024,"2,024,041"
01/19/2024,"3,176,408"
01/18/2024,"3,655,850"
01/17/2024,"3,616,923"
01/16/2024,"3,235,935"
01/15/2024,"2,169,917"
01/14/2024,"1,743,556"
01/13/2024,"2,167,383"
01/12/2024,"3,365,791"
01/11/2024,"3,688,916"
01/10/2024,"3,557,166"
01/09/2024,"3,353,192"
01/08/2024,"3,303,727"
01/07/2024,"1,472,438"
01/06/2024,"1,942,458"
01/05/2024,"3,263,064"
01/04/2024,"3,560,703"
01/03/2024,"3,555,082"
01/02/2024,"3,290,639"
01/01/2024,"1,648,734"
12/31/2023,"1,934,651"
12/30/2023,"2,440,211"
12/29/2023,"3,198,885"
12/28/2023,"3,064,841"
12/27/2023,"2,912,007"
12/26/2023,"2,668,642"
12/25/2023,"1,273,729"
12/24/2023,"1,657,096"
12/23/2023,"2,244,175"
12/22/2023,"3,372,318"
12/21/2023,"3,675,448"
12/20/2023,"3,838,407"
12/19/2023,"3,912,934"
12/18/2023,"3,314,782"
12/17/2023,"1,954,707"
12/16/2023,"2,866,544"
12/15/2023,"3,845,234"
12/14/2023,"4,122,091"
12/13/2023,"4,067,457"
12/12/2023,"4,051,574"
12/11/2023,"3,642,743"
12/10/2023,"1,838,048"
12/09/2023,"2,922,085"
12/08/2023,"3,863,961"
12/07/2023,"4,088,438"
12/06/2023,"4,116,059"
12/05/2023,"3,991,835"
12/04/2023,"3,709,458"
12/03/2023,"1,827,959"
12/02/2023,"2,748,170"
12/01/2023,"3,723,171"
11/30/2023,"4,072,271"
11/29/2023,"4,032,882"
11/28/2023,"3,916,476"
11/27/2023,"3,523,494"
11/26/2023,"1,686,490"
11/25/2023,"2,123,590"
11/24/2023,"2,457,591"
11/23/2023,"1,628,385"
11/22/2023,"3,378,351"
11/21/2023,"3,774,952"
11/20/2023,"3,647,283"
11/19/2023,"1,943,926"
11/18/2023,"2,477,547"
11/17/2023,"3,741,391"
11/16/2023,"4,048,862"
11/15/2023,"4,036,442"
11/14/2023,"3,991,767"
11/13/2023,"3,597,029"
11/12/2023,"1,947,270"
11/11/2023,"2,588,540"
11/10/2023,"3,611,367"
11/09/2023,"4,020,939"
11/08/2023,"4,066,029"
11/07/2023,"3,655,078"
11/06/2023,"3,686,141"
11/05/2023,"2,310,457"
11/04/2023,"2,588,115"
11/03/2023,"3,808,235"
11/02/2023,"4,082,807"
11/01/2023,"4,043,524"
10/31/2023,"4,016,482"
10/30/2023,"3,623,778"
10/29/2023,"1,834,459"
10/28/2023,"2,743,759"
10/27/2023,"3,853,546"
10/26/2023,"4,142,420"
10/25/2023,"4,120,011"
10/24/2023,"4,040,571"
10/23/2023,"3,667,240"
10/22/2023,"1,983,271"
10/21/2023,"2,438,387"
10/20/2023,"3,616,336"
10/19/2023,"4,121,563"
10/18/2023,"4,074,460"
10/17/2023,"4,021,342"
10/16/2023,"3,661,144"
10/15/2023,"2,013,096"
10/14/2023,"2,219,786"
10/13/2023,"3,560,964"
10/12/2023,"4,104,598"
10/11/2023,"4,056,504"
10/10/2023,"3,954,925"
10/09/2023,"2,833,654"
10/08/2023,"2,044,534"
10/07/2023,"2,199,478"
10/06/2023,"3,639,729"
10/05/2023,"4,030,304"
10/04/2023,"4,026,878"
10/03/2023,"4,008,201"
10/02/2023,"3,649,389"
10/01/2023,"1,995,361"
09/30/2023,"2,205,573"
09/29/2023,"2,467,295"
09/28/2023,"4,051,444"
09/27/2023,"4,074,930"
09/26/2023,"3,946,624"
09/25/2023,"2,885,921"
09/24/2023,"1,701,656"
09/23/2023,"2,116,140"
09/22/2023,"3,840,412"
09/21/2023,"4,139,288"
09/20/2023,"4,179,861"
09/19/2023,"4,140,301"
09/18/2023,"3,539,047"
09/17/2023,"1,988,003"
